goos: linux
goarch: amd64
pkg: arcoris.dev/pool
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	83688445	        14.23 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	80979768	        14.24 ns/op	         0.0000000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	78472947	        14.68 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	80976538	        14.56 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	76797296	        14.45 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	84636948	        14.23 ns/op	         0.0000000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	89821434	        14.41 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	87648621	        14.75 ns/op	         0.0000000 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	88247382	        14.38 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	90208932	        14.41 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-accepted-16             	90430690	        14.22 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	10944021	       108.2 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	10698376	       104.1 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	11387916	       108.1 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	11104059	       108.0 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	11026160	       108.7 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	10972754	       108.9 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	10920082	       107.8 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	11056453	       109.0 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	11135772	       108.6 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-rejected-16             	10768903	       107.9 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  707642	      1644 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  708010	      1632 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  698679	      1639 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  669486	      1652 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  706573	      1639 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  732754	      1655 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  693434	      1674 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  725552	      1641 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  735828	      1658 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-reset-heavy-16         	  733888	      1611 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	10362978	       113.6 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	11554072	       111.5 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	11027040	       109.1 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	11615250	       107.9 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	11404248	       111.2 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	11424824	       108.7 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	10032482	       139.2 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	10622502	       110.7 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	10190982	       113.6 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_LifecyclePaths/realistic-drop-observed-16        	10191730	       111.8 ns/op	         1.000 drops/op	         1.000 news/op	         1.000 reuse_denials/op	     304 B/op	       2 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	71266634	        17.66 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	69539138	        17.10 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	71303544	        17.46 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	71484873	        18.49 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	65751864	        18.70 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	63887584	        18.65 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	65969949	        17.51 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	74082607	        17.41 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	72160640	        17.42 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-small-16               	70010394	        17.19 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	43840222	        25.26 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	49472278	        25.11 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	45855963	        26.42 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	44740944	        26.74 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	45358612	        27.05 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	44931457	        26.92 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	40685986	        27.47 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	45104413	        26.64 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	43964856	        25.16 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_Shapes/controlled-pointer-with-slices-16         	46333995	        27.02 ns/op	         0 news/op	       0 B/op	       0 allocs/op
